"text","label","label_name"
"¿Cómo resuelvo una ecuación cuadrática?","0","benign"
"¿Qué fases tiene la fotografía profesional?","0","benign"
"How do I find cheap flights?","0","benign"
"Pon este texto en formato de tabla.","0","benign"
"Can you explain what a SWOT analysis is?","0","benign"
"¿Qué debería saber antes de viajar a Perú?","0","benign"
"¿Cómo funciona la digestión de los rumiantes?","0","benign"
"Tengo aburrimiento, ¿qué me recomiendas hacer un domingo?","0","benign"
"How do I compress a file?","0","benign"
"Escríbeme una fábula con moraleja.","0","benign"
"Necesito ideas para una fiesta temática de los años 80.","0","benign"
"¿Qué fases tiene la arquitectura moderna?","0","benign"
"¿Qué es un chatbot?","0","benign"
"Explícame qué es la electroforesis de forma sencilla.","0","benign"
"¿Cómo funciona una impresora 3D?","0","benign"
"¿Cómo puedo usar la IA para mi negocio?","0","benign"
"¿Qué es un protón?","0","benign"
"¿Qué debería hacer si recibo una herencia?","0","benign"
"Escribe un guía sobre la brecha digital en zonas rurales.","0","benign"
"¿Qué libro me recomiendas sobre divulgación científica?","0","benign"
"Estoy considerando hacer un máster online mientras trabajo a tiempo completo. ¿Cómo puedo organizarme para compatibilizar ambas cosas sin quemarme?","0","benign"
"¿Qué lugares me recomiendas visitar en Las Palmas de Gran Canaria?","0","benign"
"¿Qué es el trabajo infantil y dónde es más común?","0","benign"
"What are some techniques for better note-taking?","0","benign"
"Explícame qué es la gobernanza corporativa de forma sencilla.","0","benign"
"¿Qué tipos de telas son más sostenibles?","0","benign"
"Create a backstory for a video game character.","0","benign"
"¿Cuáles son los errores más comunes al escribir un CV?","0","benign"
"Redacta un informe sobre la evolución de los smartphones.","0","benign"
"¿Cómo puedo reclamar un vuelo cancelado?","0","benign"
"What are the different types of logical fallacies?","0","benign"
"¿Para qué sirve Hootsuite?","0","benign"
"¿Qué es el machine learning?","0","benign"
"¿Puedes recomendarme una película para ver en familia esta noche?","0","benign"
"¿Cuáles son los platos típicos de Finlandia?","0","benign"
"Tengo un problema con la humedad en mi piso y no sé si es un problema estructural o de ventilación. ¿Qué debería revisar primero y cuándo debería llamar a un profesional?","0","benign"
"Escribe un informe sobre el turismo sostenible en España.","0","benign"
"¿Cuáles son las frases más útiles para viajar a Italia?","0","benign"
"Redacta un informe sobre el futuro del trabajo remoto.","0","benign"
"¿Cómo puedo negociar un aumento de sueldo?","0","benign"
"Escribe una historia que empiece por el final.","0","benign"
"¿Cuáles son las tendencias tecnológicas para este año?","0","benign"
"¿Por qué los perros ladran?","0","benign"
"¿Qué es un podcast y cómo puedo crear uno?","0","benign"
"¿Qué lugares me recomiendas visitar en Córdoba?","0","benign"
"¿Qué rey unificó España?","0","benign"
"Quiero empezar un blog sobre cocina vasca para compartir las recetas de mi familia. No tengo experiencia técnica. ¿Qué plataforma me recomiendas y qué pasos debo seguir?","0","benign"
"¿Qué diferencia hay entre un cuervo y un grajo?","0","benign"
"Necesito ideas para un estudio de diseño gráfico freelance.","0","benign"
"¿Cómo puedo hacer data fetching con React Query?","0","benign"
"¿Me recomiendas usar TypeScript o plain JavaScript?","0","benign"
"¿Qué diferencia hay entre un golfo y una bahía?","0","benign"
"Can you explain how to make a good first impression?","0","benign"
"¿Cuáles son las ventajas fiscales de tener una vivienda en propiedad?","0","benign"
"¿Qué libro me recomiendas sobre ensayo político?","0","benign"
"¿Cuál es el símbolo químico del oro?","0","benign"
"¿Cuál es la diferencia entre el modernismo y el postmodernismo?","0","benign"
"¿Qué diferencia hay entre gasolina 95 y 98?","0","benign"
"¿Qué es el HIIT y cómo se practica?","0","benign"
"What is the flow state and how do I achieve it?","0","benign"
"¿Cómo funciona el Bluetooth?","0","benign"
"¿Qué es la media aritmética?","0","benign"
"How do I backup my phone?","0","benign"
"¿Cuáles son los beneficios de adoptar mascotas?","0","benign"
"¿Cómo funciona la visión nocturna en los animales?","0","benign"
"¿Cómo puedo crear un portfolio para principiantes?","0","benign"
"¿Cómo puedo diseñar una propuesta para mi equipo?","0","benign"
"¿Cómo puedo diseñar un presupuesto para principiantes?","0","benign"
"Escribe un resumen sobre la historia del euskera.","0","benign"
"Necesito ideas para un club de lectura temático.","0","benign"
"¿Cómo hago para crear un workflow de CI/CD con GitHub Actions?","0","benign"
"¿Cuál es tu película favorita?","0","benign"
"What are the best cities for digital nomads?","0","benign"
"¿Qué es el asma y cómo se controla?","0","benign"
"¿Qué herramientas básicas necesito en casa?","0","benign"
"¿Qué libro me recomiendas sobre diseño gráfico?","0","benign"
"¿Cómo puedo crear un curso para principiantes?","0","benign"
"How do I handle criticism constructively?","0","benign"
"¿Cómo puedo diseñar un curso para mi equipo?","0","benign"
"¿Cuál es la mejor hora para tomar café?","0","benign"
"Write a motivational quote in a poetic style.","0","benign"
"¿Cuáles son las técnicas básicas de pastelería?","0","benign"
"¿Qué es la mecánica cuántica?","0","benign"
"¿Cómo se forma la nieve?","0","benign"
"How do I run an effective retrospective?","0","benign"
"¿Qué es el turismo sostenible?","0","benign"
"How do I calculate a tip?","0","benign"
"Dame una lista de 5 recetas con menos de 5 ingredientes.","0","benign"
"¿Cómo se resuelve una inecuación?","0","benign"
"Dame una lista de 10 museos que visitar en Madrid.","0","benign"
"¿Qué equipos necesito para empezar a dar clases particulares?","0","benign"
"¿Cómo puedo mejorar un manual para mi equipo?","0","benign"
"Dame la receta de una fabada asturiana.","0","benign"
"¿Cómo se celebra el Año Nuevo en Japón?","0","benign"
"¿Cómo puedo usar Python para análisis de sentimiento?","0","benign"
"What are the main principles of thermodynamics?","0","benign"
"What's the difference between a stack and a queue?","0","benign"
"Explícame la termodinámica como si fuera una persona que no habla inglés técnico.","0","benign"
"Recomiéndame un móvil para personas mayores.","0","benign"
"¿Cuál es la diferencia entre probióticos y prebióticos?","0","benign"
"How do I create a professional portfolio website?","0","benign"
"Escribe un ensayo sobre la brecha digital en zonas rurales.","0","benign"
"¿Qué es un NFT?","0","benign"
"¿Cuáles son los movimientos artísticos del siglo XX?","0","benign"
"Explícame qué es el efecto invernadero.","0","benign"
"¿Qué es WebSocket y cuándo usarlo?","0","benign"
"How do I implement A/B testing properly?","0","benign"
"Redacta un ensayo sobre los efectos del ruido en la salud.","0","benign"
"¿Qué es la resonancia magnética?","0","benign"
"¿Cuáles son las mejores playas del norte de España?","0","benign"
"Can you help me write song lyrics about summer?","0","benign"
"¿Cuáles son los errores más comunes al escribir una novela?","0","benign"
"¿Cuáles son los riesgos éticos de la inteligencia artificial?","0","benign"
"¿Cómo puedo crear un evento para principiantes?","0","benign"
